endpoint,lookup,fields
contract-service-models,id,"name,serviceType,contract,settings,id,uri,resourceType"
data-view-categories,id,"name,iconClass,parentCategory,ownedBy,archivedBy,aclRule,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
data-view-modular-hooks,id,"name,type,dataView,dataViewCategory,portal,contextFilter,contextFilterAttribute,settings,status,archivedOn,archivedBy,id,uri,resourceType"
data-views,id,"is,name,title,status,description,uid,category,configs,ownedBy,archivedBy,aclRule,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
departments,id,"name,details,customId,region,status,employeeAssignments,positions,allowedAreas,restrictedAreas,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
dispatch-custom-locations,id,"dispatchTask,type,name,addressLine1,addressLine2,city,state,postalCode,country,autoGeoCode,latitude,longitude,region,uri,resourceType,id,createdBy,createdOn,updatedBy,updatedOn"
dispatch-tasks,id,"customId,taskType,priority,taskInstructions,startedOn,endedOn,plannedDurationInMinutes,reminderInMinutes,alarmOrganization,client,priceTier,status,active,assignedUser,assignedGroup,assignedVendor,reportTemplate,report,workflowInstance,location,locationType,notes,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
employee-account-assignments,id,"employee,account,active,payRate,startedOn,endedOn,id,uri,resourceType"
employee-account-bans,id,"employee,account,reason,startDate,id,createdBy,createdOn,updatedBy,updatedOn"
employee-availabilities,id,"weekDay,timeFrom,timeTo,available,id,uri,resourceType"
employee-classes,id,"status,name,rate,weeklyHoursMaximum,weeklyHoursMinimum,schedulingWeight,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
employee-roles,id,"employee,role,id,uri,resourceType"
employees,id,"firstName,lastName,jobTitle,customId,region,primaryPhone,secondaryPhone,name,password,status,employmentProfile,gender,age,birthday,ageGroup,emergencyContacts,skills,notes,availabilities,accountAssignments,accountBans,email,address,username,tags,notificationSettings,id,uri,resourceType,avatar,createdBy,createdOn,updatedBy,updatedOn"
employee-skills,id,"expiresOn,label1,label2,label3,skillCustomFields,comments,skill,employee,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
employment-profiles,id,"employee,employeeType,employeeClass,employmentDate,seniority,payRateType,hourlyRateType,hourlyRate,yearlyPayRate,overtimeExempt,payrollSchedule,hasGrievance,weeklyHoursTarget,weeklyHoursMaximum,weeklyHoursMinimum,overtimeRule,terminationDate,terminationReason,id,uri,resourceType"
employment-termination-reasons,id,"name,isVoluntary,commentRequired,employmentProfiles,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
event-activities,id,"user,type,account,createdOn,id,createdBy,updatedBy,updatedOn"
events-subscriptions,id,"customId,name,events,entityResponse,contextFilters,userDefinedFilters,url,secretHeaderName,secret,failureEmail,lastTriggeredOn,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
files,id,"url,tag,format,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
geo-fences,id,"account,description,geometryType,geometryCoordinates,access,radius,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
geo-locations,id,"latitude,longitude,accuracy,createdOn,createdBy,belongsTo,id,uri,resourceType"
